inference_time,cpu_usage,ram_usage,disk_usage
6.390206984011456,0.0,2114.421875,-1.0
6.368344947928563,21.2,2150.046875,0.0
6.478688457049429,15.8,2147.015625,0.0
6.503288721898571,14.0,2150.8125,0.0
6.610118680051528,11.2,2152.171875,0.0
,21.8,2208.375,0.799139529774131
,25.3,2210.46875,0.0
,22.3,2220.59375,0.0
,19.4,2222.8125,0.0
,17.2,2224.890625,0.0
,13.7,2216.328125,0.0
,17.3,2216.703125,1.1989556137752737
,25.2,2216.9375,0.0
,25.1,2218.03125,0.0
,19.3,2222.625,0.0
,16.9,2222.4375,0.0
,15.4,2219.453125,0.0
,11.9,2220.828125,5.195502679362699
,25.3,2220.4375,0.0
,26.2,2259.796875,0.0
,21.8,2221.671875,0.0
,19.5,2224.03125,0.0
,14.8,2224.03125,0.7993172288182658
,17.4,2219.546875,0.7993084135538351
,19.9,2228.296875,0.0
,25.5,2227.703125,0.0
,24.5,2227.84375,0.0
,21.9,2224.515625,0.0
,15.7,2220.171875,0.0
,15.8,2222.3125,0.7992923960347027
,10.8,2224.328125,0.0
,25.2,2224.765625,0.0
,26.5,2224.984375,2.7966482895002907
