inference_time,cpu_usage,ram_usage,disk_usage
6.594991117017344,100.0,2191.921875,-1.0
6.7119677980663255,17.2,2112.4375,0.0
6.821994079975411,20.2,2075.21875,1.1990535510705145
6.8809373520780355,15.0,2072.6875,0.0
6.854679381940514,18.1,2081.515625,0.0
,22.4,2134.21875,1.1989897228689221
,24.9,2136.328125,0.0
,24.2,2147.53125,1.5983727446059515
,21.1,2149.28125,0.39967320957401514
,17.5,2146.640625,0.0
,17.0,2143.703125,0.0
,13.0,2145.453125,0.0
,26.3,2145.703125,0.0
,25.1,2172.421875,0.0
,26.9,2147.875,0.3995433015981835
,16.3,2150.09375,5.593189380581182
,19.4,2149.859375,0.0
,15.4,2151.609375,0.0
,17.9,2214.5,0.0
,25.8,2218.484375,0.0
,25.9,2193.234375,1.598254715446746
,23.3,2144.734375,0.0
,20.9,2145.65625,0.0
,19.5,2147.15625,0.0
,15.2,2148.078125,0.0
,20.4,2148.890625,0.0
,25.3,2149.359375,0.3996400086572222
,25.2,2148.5625,0.0
,24.7,2146.375,0.0
,22.0,2147.65625,0.0
,17.8,2150.5625,2.397862770313897
,15.9,2151.59375,0.0
,21.5,2149.625,0.7990644936555473
,25.6,2149.84375,0.0
