inference_time,cpu_usage,ram_usage,disk_usage
6.195845377049409,0.0,2401.8125,-1.0
5.489726644009352,37.7,2476.921875,21.493737627571186
5.533474468975328,97.0,2517.28125,0.0
5.575490119983442,98.5,2537.71875,0.7965616535539217
5.8097552409162745,99.3,2561.265625,9.186644400661665
,100.0,2581.890625,0.0
,89.5,2680.640625,3.1959948592473073
,80.2,2628.46875,0.0
,98.0,2621.578125,0.0
,98.3,2621.578125,0.0
,100.0,2640.5625,0.0
,99.8,2665.40625,0.3990663790020684
,72.1,2732.859375,0.7963126567340169
,97.3,2690.8125,0.0
,97.7,2690.8125,0.0
,99.8,2690.8125,0.0
,100.0,2692.21875,0.399360663944921
,89.8,2787.375,1.5979348337582708
,81.8,2729.3125,0.7958620284087043
,98.5,2693.6875,0.0
,97.2,2693.6875,0.0
,98.5,2696.5,0.0
,100.0,2697.65625,2.3959493576479893
,72.6,2714.578125,0.0
,97.5,2710.515625,0.0
,97.8,2693.71875,0.0
,99.8,2697.234375,0.0
,100.0,2698.15625,0.0
,100.0,2698.375,0.3993168686949239
