inference_time,cpu_usage,ram_usage,disk_usage
131.68602684815414,0.0,2908.765625,-1.0
,21.4,2916.703125,24.376715530239217
,25.4,2917.984375,6.394638645004074
,24.8,2933.765625,4.795909147677589
,26.2,2934.203125,1.5986780625857073
,25.0,2937.078125,0.7993213282204694
,26.2,2944.359375,3.5968470870294382
,25.2,2956.546875,0.0
,25.9,2946.140625,0.0
,25.2,2946.578125,0.7991507824205203
,25.0,2958.265625,2.7971004423858292
,25.3,2958.5,0.0
,26.6,2958.78125,16.385939680828663
,25.6,2959.4375,1.998326517445646
,25.3,2959.65625,0.0
,25.2,2960.09375,0.3996519642286641
,24.8,2960.3125,0.0
,25.2,2960.75,0.0
,25.1,2961.375,3.5960662561939825
,25.0,2961.359375,0.0
,25.2,2961.578125,0.0
,26.2,2961.515625,0.3995748040500767
,25.4,2961.734375,0.0
,25.2,2961.6875,0.7993011830549451
,25.2,2962.125,0.0
,25.3,2961.34375,0.0
,25.2,2961.515625,0.39957122053308514
,25.1,2961.953125,0.3996707141419482
,25.4,2961.671875,0.39962253294122346
,25.2,2961.65625,0.0
,25.2,2961.375,0.0
,25.1,2961.5625,0.0
,25.0,2961.484375,0.0
,25.4,2961.703125,0.7993073419680155
,25.1,2960.890625,0.0
,25.0,2961.109375,0.0
,25.3,2961.578125,4.395098331053636
,26.2,2961.1875,0.0
,25.3,2961.4375,0.7991299425571651
,25.0,2961.15625,1.198687553283873
,25.4,2961.59375,0.0
,25.4,2961.0625,0.0
,25.5,2961.5,0.7993338656307745
,25.2,2961.171875,0.0
,25.2,2957.296875,1.598622741592062
,25.1,2957.15625,0.39965845189177407
,25.2,2957.375,0.0
,25.0,2957.59375,0.0
,25.2,2958.03125,0.0
,25.2,2958.46875,0.0
,24.9,2958.671875,0.0
,25.1,2958.890625,0.39966285366720483
,25.2,2959.328125,0.0
,25.2,2959.546875,0.0
,26.0,2959.984375,0.0
,25.2,2960.421875,0.0
,25.0,2960.859375,0.7993324399205409
,25.4,2961.078125,0.7991464085686313
,25.1,2961.296875,0.0
,25.2,2961.515625,0.0
,25.2,2961.203125,0.0
,25.1,2961.640625,0.0
,25.4,2961.203125,0.0
,25.3,2961.421875,0.39965581713937226
,25.2,2961.109375,0.0
,25.1,2961.328125,0.0
,25.1,2961.03125,0.0
,25.4,2958.875,0.0
,25.2,2958.53125,0.0
,25.2,2958.75,0.3995378864965948
,26.0,2959.1875,0.0
,25.2,2959.40625,0.0
,25.2,2959.84375,0.0
,25.2,2960.28125,0.0
,25.1,2960.484375,0.0
,25.4,2960.703125,1.5983399990708764
,25.4,2961.140625,0.0
,25.0,2961.359375,0.0
,25.4,2961.265625,0.3995610071188626
,25.0,2961.484375,0.0
,25.1,2961.09375,0.0
,25.3,2961.3125,0.3996433483024898
,25.2,2961.0,0.0
,25.2,2961.4375,0.0
,25.0,2961.15625,0.0
,25.2,2961.375,0.0
,26.2,2961.296875,0.0
,42.6,2945.28125,4.379444939564032
,25.3,2945.734375,0.0
,25.2,2945.734375,0.0
,25.2,2946.609375,0.0
,25.2,2946.609375,0.0
,25.3,2946.546875,0.0
,25.1,2946.546875,0.7991157561470279
,25.4,2946.671875,0.0
,25.3,2946.421875,0.0
,25.4,2946.859375,0.0
,25.1,2946.34375,0.39955876608104673
,25.1,2946.75,0.0
,25.6,2945.046875,0.3995621146372126
,25.1,2945.609375,0.0
,25.4,2945.609375,0.0
,25.1,2946.046875,0.0
,26.0,2946.046875,0.0
,25.4,2946.6875,0.0
,25.1,2946.6875,1.1989972616029352
,25.1,2946.8125,0.0
,25.1,2946.5625,0.0
,25.4,2946.71875,0.0
,25.1,2946.71875,0.0
,25.2,2946.390625,0.0
,25.2,2946.609375,0.39956654542252373
,25.2,2946.765625,0.0
,25.1,2946.765625,0.0
,25.1,2946.703125,0.0
,25.2,2946.703125,0.0
,25.4,2946.625,0.0
,25.2,2946.625,0.7991729070530761
,25.2,2946.75,0.0
,26.1,2946.75,0.0
,25.2,2946.6875,0.0
,25.2,2946.6875,0.0
,25.2,2946.59375,0.0
,25.1,2946.59375,0.7993207956639828
,25.3,2946.71875,0.0
,25.0,2946.71875,0.7993109165351339
,25.2,2946.90625,0.0
,25.2,2946.90625,0.0
,25.1,2946.671875,0.0
,25.4,2946.671875,0.7991685370483085
,25.3,2946.578125,0.0
,25.4,2946.578125,1.5986884249126354
