inference_time,cpu_usage,ram_usage,disk_usage
4.867559910002456,2.5,2893.41015625,-1.0
6.4118888979974145,42.7,2900.0078125,23.201036849309002
6.403537136000523,24.4,2901.35546875,83.77841150888685
6.7242590809983085,29.3,2901.35546875,0.0
5.09156241600067,25.6,2901.35546875,0.0
,36.7,2901.6015625,0.0
,38.3,2905.02734375,0.0
,41.2,2906.75,0.0
,31.3,2906.75,0.0
,26.0,2906.75,0.0
,28.7,2906.75,0.0
,37.5,2906.75,0.0
,35.1,2906.75,0.0
,31.6,2906.99609375,0.0
,26.9,2906.99609375,0.0
,28.7,2906.99609375,0.0
,37.0,2908.14453125,0.0
,36.7,2908.2265625,0.0
,38.3,2908.2265625,0.0
,34.6,2908.2265625,0.0
,26.0,2908.2265625,0.0
,25.0,2908.46875,0.0
,26.9,2907.9765625,0.0
,37.8,2907.9765625,0.0
,31.7,2907.9765625,0.0
,25.6,2908.57421875,0.0
,27.5,2908.21875,0.0
