inference_time,cpu_usage,ram_usage,disk_usage
113.29784065601416,0.0,2657.828125,-1.0
,22.2,2661.828125,14.387890315620556
,26.0,2666.40625,11.990246043427542
,24.9,2682.296875,4.796066731915151
,25.2,2682.734375,0.0
,25.0,2686.0625,0.0
,26.3,2689.328125,0.0
,25.7,2692.96875,0.3996639821119424
,25.1,2694.328125,0.0
,25.4,2706.71875,0.0
,25.2,2706.90625,0.0
,25.1,2706.875,0.0
,25.3,2706.84375,0.7993870396818946
,25.2,2706.359375,1.9983893901110206
,25.0,2706.796875,0.0
,25.2,2706.984375,0.0
,25.2,2706.703125,0.0
,25.1,2706.890625,2.3980828859170185
,25.3,2707.109375,1.1990918547965221
,25.4,2707.078125,0.0
,25.2,2707.015625,0.0
,25.0,2706.953125,0.0
,26.1,2706.921875,0.0
,25.4,2706.890625,0.0
,25.0,2707.078125,1.5987889604413972
,25.2,2707.046875,0.0
,25.1,2706.984375,0.0
,25.1,2706.921875,0.399673092930456
,25.4,2706.875,1.1989712935005512
,25.0,2706.84375,0.0
,25.3,2706.9375,2.398013224494575
,25.7,2705.046875,0.0
,24.8,2704.984375,0.0
,25.4,2704.921875,0.0
,25.0,2704.890625,0.0
,25.1,2704.859375,0.0
,24.9,2704.84375,0.3996503538972587
,25.1,2704.78125,0.0
,26.4,2704.75,0.0
,25.1,2704.6875,0.0
,25.0,2704.875,0.0
,25.2,2704.84375,0.0
,25.1,2704.8125,0.7993677816285225
,25.2,2704.75,0.0
,25.1,2704.9375,0.0
,25.0,2704.90625,0.0
,25.1,2704.875,0.0
,25.1,2705.0625,0.7992670490423306
,25.1,2705.03125,0.7993107791227089
,25.3,2704.03125,1.9982325431113617
,25.2,2704.0,0.0
,25.2,2704.1875,0.0
,25.2,2704.15625,0.0
,25.2,2703.875,0.0
,25.4,2704.0625,0.39968241877231436
,26.0,2704.0,0.0
,25.4,2704.1875,0.0
,25.4,2704.15625,0.0
,25.2,2703.875,0.0
,25.0,2704.0625,0.39959929375622805
,25.2,2704.03125,0.39967815882900215
,25.4,2703.96875,0.0
,25.1,2704.15625,0.0
,25.1,2705.828125,0.3995868009357543
,25.2,2705.796875,0.0
,25.2,2704.59375,4.795158615810331
,25.4,2705.03125,0.3996889121665844
,25.2,2705.46875,0.0
,25.0,2705.4375,0.0
,25.2,2705.625,0.0
,25.2,2705.59375,0.0
,26.0,2705.5625,0.0
,25.3,2705.5,0.7993892292209237
,25.0,2705.6875,0.0
,25.4,2705.65625,0.0
,25.2,2705.625,0.0
,25.2,2705.5625,0.0
,25.4,2705.53125,0.0
,25.1,2705.46875,0.3995444630050411
,25.0,2705.65625,0.0
,25.3,2705.625,0.0
,25.2,2705.8125,0.0
,24.9,2705.78125,0.0
,25.0,2705.5,0.0
,25.4,2705.6875,0.3996867826722866
,25.3,2705.390625,1.199062432683962
,25.0,2705.609375,0.0
,25.2,2705.578125,0.0
,26.2,2705.765625,0.7993458314209596
,25.2,2705.484375,0.0
,25.1,2705.671875,0.7991999184979207
,25.2,2705.609375,0.0
,25.3,2705.578125,0.3996567943710191
,25.4,2705.546875,0.0
,25.0,2705.765625,0.0
,25.0,2705.703125,0.0
,25.4,2705.890625,0.3996652986543529
,25.4,2705.859375,0.0
,24.8,2705.828125,0.0
,25.2,2705.765625,0.0
,25.2,2705.734375,0.0
,25.4,2705.671875,0.0
,25.1,2705.859375,0.7991675256899148
,25.0,2705.828125,0.0
,26.1,2705.796875,0.0
,25.2,2705.765625,0.0
,25.2,2705.703125,0.0
,25.4,2705.65625,1.1989961835393348
,25.1,2705.625,0.7991888887403592
,25.1,2705.8125,0.0
,25.2,2705.78125,0.0
,25.1,2705.3125,0.0
,25.0,2705.25,0.0
,25.1,2705.4375,0.0
