inference_time,cpu_usage,ram_usage,disk_usage
6.626970174955204,0.0,2281.796875,-1.0
6.471738683991134,50.0,2184.15625,0.0
6.609602170996368,48.9,2185.5625,0.7991431084164354
6.769397118012421,35.3,2183.953125,0.0
6.616264394950122,17.6,2192.6875,3.59628708539594
,20.7,2305.125,0.0
,25.1,2306.515625,0.0
,27.6,2246.453125,5.595258002276499
,26.4,2247.953125,0.0
,22.0,2255.484375,1.198681645559902
,20.8,2258.40625,1.1989867196745663
,14.0,2254.859375,0.0
,25.4,2255.578125,0.0
,25.7,2356.015625,0.39961558339662
,24.6,2255.21875,0.0
,20.6,2253.65625,0.3996573226415103
,22.8,2253.890625,0.0
,15.4,2251.265625,0.0
,20.3,2251.828125,0.0
,25.7,2256.03125,0.7993190824323478
,45.1,2253.59375,0.39958625719133994
,22.4,2255.6875,0.0
,20.2,2256.4375,0.0
,15.2,2252.65625,0.0
,15.4,2258.71875,0.0
,25.2,2255.765625,0.39894093388817536
,25.4,2256.203125,0.0
,23.1,2256.703125,0.0
,19.2,2255.203125,0.0
,19.7,2251.328125,0.0
,15.9,2253.453125,3.5970637238366567
,18.5,2249.484375,0.0
,25.3,2249.953125,0.0
,25.1,2326.484375,0.0
