inference_time,cpu_usage,ram_usage,disk_usage
119.10583870392293,0.0,2857.40625,-1.0
,21.2,2864.390625,25.97361750986219
,25.1,2865.890625,2.7974836628478283
,25.4,2881.328125,1.5986717694586088
,25.0,2881.828125,0.0
,25.3,2885.453125,0.7993103423411734
,25.6,2892.40625,0.0
,25.3,2895.375,0.0
,25.2,2895.140625,0.39967670551861223
,25.1,2907.09375,0.0
,25.0,2907.09375,0.7992796405286976
,25.3,2907.09375,0.7993276750690876
,25.2,2907.09375,0.3996816235710436
,25.2,2906.953125,0.0
,26.1,2905.21875,4.795288528947425
,25.2,2904.609375,2.397993629514384
,25.2,2904.375,0.0
,25.1,2904.375,0.7993399067786837
,25.1,2904.359375,0.0
,25.0,2904.359375,0.0
,25.2,2904.359375,0.0
,25.2,2904.359375,0.0
,25.2,2904.359375,0.0
,25.1,2904.359375,0.7991354944073443
,25.4,2904.34375,0.0
,25.1,2904.34375,0.0
,25.2,2904.34375,0.0
,25.2,2904.34375,0.0
,25.2,2904.34375,0.0
,25.1,2904.34375,0.7993257805989745
,26.2,2904.328125,0.0
,25.1,2904.28125,0.0
,25.1,2904.28125,0.0
,25.2,2904.28125,0.0
,25.1,2904.28125,0.0
,25.4,2904.28125,0.39958984818100296
,25.2,2904.28125,0.0
,25.1,2904.28125,0.0
,25.1,2904.28125,0.0
,25.0,2904.28125,0.0
,25.3,2904.28125,0.0
,25.2,2904.28125,0.3995408727845937
,25.2,2904.265625,0.0
,25.0,2904.265625,0.0
,25.1,2903.6875,1.9983663595860637
,25.4,2903.328125,0.0
,26.2,2903.328125,0.0
,25.1,2903.328125,0.7991154918641715
,25.1,2903.3125,0.0
,25.0,2903.3125,0.0
,25.8,2903.3125,0.0
,25.1,2903.3125,0.0
,25.0,2903.3125,0.0
,25.1,2903.3125,0.7991497430408747
,25.2,2903.296875,0.0
,25.4,2903.296875,0.0
,25.2,2903.296875,0.0
,25.0,2903.296875,0.0
,25.1,2903.296875,0.7993068019924913
,25.4,2903.0625,0.799169138176712
,25.2,2903.0625,0.0
,25.1,2903.0625,0.0
,25.2,2903.0625,0.0
,26.4,2903.0625,0.0
,25.0,2903.0625,0.0
,25.1,2903.0625,0.79917757990688
,25.0,2903.046875,0.0
,25.2,2903.046875,0.0
,25.2,2903.046875,1.1990366291275427
,25.1,2903.28125,0.0
,25.2,2903.28125,0.0
,25.4,2902.703125,1.9941066035760395
,25.2,2903.03125,0.0
,25.3,2903.03125,0.0
,25.2,2903.03125,0.0
,25.1,2903.03125,0.0
,25.1,2903.03125,0.0
,25.4,2903.03125,0.7990736132317837
,25.4,2903.015625,0.7992841586343421
,26.3,2902.9375,4.795952077310401
,25.2,2902.9375,0.0
,25.0,2902.9375,0.0
,25.2,2902.9375,0.0
,25.1,2896.359375,3.596939098765893
,25.0,2897.796875,0.3995823944226871
,25.4,2897.796875,0.0
,25.1,2897.796875,0.0
,25.4,2897.796875,0.0
,25.2,2897.796875,0.0
,25.0,2897.796875,0.7993443210565434
,25.4,2897.921875,3.996529561308425
,25.2,2898.28125,0.0
,25.2,2898.28125,1.198561954417185
,25.3,2899.453125,0.0
,25.2,2900.15625,0.0
,25.1,2901.546875,0.7993260545044338
,26.5,2902.515625,2.796873783710543
,25.2,2902.28125,0.0
,25.4,2902.28125,0.0
,25.0,2902.28125,0.0
,25.1,2902.28125,0.0
,25.2,2902.28125,0.39954642772051707
,25.2,2902.265625,0.0
,25.0,2902.265625,0.0
,25.1,2902.265625,0.0
,25.4,2902.265625,0.0
,25.4,2902.265625,0.0
,25.1,2902.265625,0.7992952765525339
,25.2,2902.25,0.0
,25.2,2902.25,0.0
,25.1,2902.25,0.0
,25.2,2902.25,0.0
,26.2,2902.25,0.0
,25.1,2902.25,0.79915312214983
,25.4,2902.25,0.0
,25.1,2902.25,0.0
,25.2,2902.25,0.0
,25.1,2902.25,0.0
,25.4,2902.25,0.0
