inference_time,cpu_usage,ram_usage,disk_usage
129.3363255339209,0.0,2861.25,-1.0
,21.1,2862.8125,26.753033822574974
,25.3,2865.59375,3.9966493846385136
,24.8,2883.25,4.794708473666268
,25.2,2883.6875,0.0
,25.3,2886.96875,0.0
,25.8,2893.28125,0.7992561100190572
,25.4,2894.203125,5.595243181142087
,25.1,2895.125,0.39964667317520963
,25.2,2895.34375,0.0
,25.3,2907.75,0.0
,25.1,2908.1875,0.0
,25.2,2908.40625,0.7991063721683388
,25.1,2908.84375,0.0
,25.0,2908.5625,0.0
,25.9,2908.875,4.795460084946086
,25.2,2908.125,2.39726133272999
,25.1,2908.09375,0.0
,25.3,2907.3125,1.5986551348062854
,25.5,2908.078125,0.0
,25.4,2908.15625,0.0
,25.5,2903.53125,2.3973911758976696
,25.3,2903.75,0.39957190024399813
,25.2,2903.96875,0.0
,25.4,2904.625,0.3996576751945054
,25.2,2904.84375,0.0
,25.3,2905.28125,0.0
,25.0,2905.5,0.0
,25.2,2905.71875,0.0
,25.2,2906.15625,1.9982704807054785
,25.2,2906.59375,0.7991357722713788
,26.3,2906.75,3.995617586285887
,25.1,2906.96875,0.0
,25.4,2907.921875,0.0
,25.1,2908.140625,0.0
,25.2,2908.578125,0.0
,25.2,2908.265625,0.7990480156892329
,25.3,2908.234375,0.0
,25.1,2908.203125,0.0
,25.2,2908.390625,0.7992925302799084
,25.1,2908.359375,0.7993237496507057
,25.3,2908.546875,0.0
,25.2,2908.484375,0.7991524907486974
,25.4,2908.453125,0.0
,25.1,2907.734375,0.0
,25.1,2907.921875,0.0
,25.3,2907.890625,0.0
,26.2,2908.078125,0.0
,25.2,2908.015625,0.39954894924519524
,25.1,2907.984375,0.0
,25.0,2907.953125,0.0
,25.2,2907.921875,0.0
,25.1,2907.859375,0.0
,25.1,2908.046875,0.0
,25.1,2907.984375,0.7993283045156504
,25.1,2907.953125,0.0
,25.4,2907.921875,0.0
,25.3,2907.890625,0.0
,25.1,2907.828125,0.0
,25.2,2908.015625,0.7992912867470963
,25.6,2907.953125,0.7993127452963316
,25.3,2908.140625,1.1987465629079253
,25.1,2907.84375,0.0
,25.2,2907.8125,0.0
,26.5,2907.75,2.7970323651375186
,25.1,2908.140625,0.0
,25.0,2908.109375,0.7991253039006142
,25.1,2908.046875,0.39965464922784566
,25.1,2908.015625,0.0
,25.1,2908.203125,0.0
,25.0,2908.375,4.795318555547752
,25.3,2903.71875,0.799305157712012
,25.4,2903.9375,1.198747516171698
,25.0,2904.390625,0.0
,25.1,2904.609375,0.0
,25.1,2905.046875,0.39966524602968057
,25.4,2905.484375,0.0
,25.1,2905.703125,0.0
,25.1,2906.140625,0.7991763936113598
,25.0,2906.359375,0.0
,26.1,2906.578125,0.0
,25.6,2907.015625,0.0
,25.2,2907.453125,0.0
,25.0,2907.671875,0.0
,25.1,2907.890625,0.39965938153375946
,25.2,2908.109375,0.0
,25.0,2908.078125,0.0
,25.2,2908.265625,0.0
,25.1,2908.203125,0.0
,25.4,2908.171875,0.0
,25.1,2908.109375,0.39965679306940394
,25.0,2908.078125,0.0
,25.1,2908.046875,0.0
,25.1,2908.234375,0.0
,25.1,2908.171875,0.0
,25.4,2908.140625,0.0
,25.0,2908.109375,0.39965249657708873
,26.2,2908.078125,0.0
,25.2,2908.359375,0.0
,25.1,2908.046875,0.0
,25.3,2908.234375,0.0
,25.2,2908.203125,0.0
,25.0,2908.171875,0.7991535955619312
,25.2,2908.328125,0.3995768716645371
,25.1,2908.515625,0.0
,25.1,2907.984375,0.0
,25.4,2908.421875,0.0
,25.4,2908.140625,0.0
,25.1,2908.109375,0.3995734565992566
,25.1,2908.296875,0.0
,25.3,2908.234375,0.0
,25.2,2908.421875,0.0
,25.0,2908.140625,0.0
,26.2,2908.109375,0.0
,25.2,2908.328125,0.7992989884200616
,25.0,2908.296875,0.0
,25.3,2908.265625,0.0
,25.2,2908.421875,0.0
,25.4,2908.390625,0.0
,25.0,2908.109375,0.0
,25.2,2908.328125,0.7991266153127605
,25.1,2908.265625,0.0
,25.2,2908.203125,0.0
,25.2,2908.390625,0.0
,25.0,2908.109375,0.0
,25.2,2908.328125,0.0
,25.3,2908.265625,1.1986977048026766
,25.0,2908.453125,0.0
,25.1,2908.171875,0.0
,26.6,2908.140625,0.0
